Date,Open,High,Low,Close,Adj Close,Volume
2013-06-13,77.529999,79.669998,74.000000,75.900002,75.900002,211882
2013-06-14,75.900002,77.110001,73.110001,75.199997,75.199997,304969
2013-06-15,75.199997,76.800003,74.250000,74.650002,74.650002,94132
2013-06-16,74.650002,77.500000,74.620003,76.790001,76.790001,194215
2013-06-17,76.790001,83.889999,75.519997,80.070000,80.070000,382339
2013-06-18,80.070000,82.989998,79.239998,80.120003,80.120003,151893
2013-06-19,80.120003,84.449997,80.120003,82.000000,82.000000,267681
2013-06-20,82.000000,85.400002,80.779999,82.699997,82.699997,380159
2013-06-21,82.699997,82.650002,80.500000,81.000000,81.000000,73729
2013-06-22,81.000000,81.779999,79.110001,80.900002,80.900002,86204
2013-06-23,80.900002,81.989998,75.500000,77.089996,77.089996,332557
2013-06-24,77.089996,82.000000,78.160004,79.440002,79.440002,305047
2013-06-25,79.440002,80.480003,78.550003,78.910004,78.910004,115036
2013-06-26,78.910004,79.500000,77.449997,77.500000,77.500000,158888
2013-06-27,77.500000,78.470001,70.000000,72.500000,72.500000,656442
2013-06-28,72.500000,76.220001,71.000000,71.500000,71.500000,168490
2013-06-29,71.500000,74.199997,71.000000,73.900002,73.900002,86652
2013-06-30,73.900002,74.250000,66.000000,66.320000,66.320000,332283
2013-07-01,66.320000,70.449997,66.000000,69.000000,69.000000,171793
2013-07-02,69.000000,69.500000,58.180000,60.000000,60.000000,679334
2013-07-03,60.000000,64.599998,55.000000,61.430000,61.430000,555349
2013-07-04,61.430000,62.740002,50.000000,53.540001,53.540001,715436
2013-07-05,53.540001,58.000000,51.599998,53.599998,53.599998,136420
2013-07-06,53.599998,59.000000,52.500000,59.000000,59.000000,302601
2013-07-07,59.000000,63.650002,57.299999,59.599998,59.599998,438758
2013-07-08,59.599998,61.419998,56.419998,60.849998,60.849998,286640
2013-07-09,60.849998,69.500000,59.500000,68.500000,68.500000,491647
2013-07-10,68.500000,69.980003,66.660004,68.760002,68.760002,231907
2013-07-11,68.760002,80.000000,68.550003,72.599998,72.599998,792386
2013-07-12,72.599998,77.000000,69.000000,74.000000,74.000000,179201
2013-07-13,74.000000,75.769997,71.860001,73.440002,73.440002,78090
2013-07-14,73.440002,76.500000,71.699997,74.589996,74.589996,180613
2013-07-15,74.589996,76.459999,73.000000,73.809998,73.809998,162365
2013-07-16,73.809998,76.000000,73.599998,75.300003,75.300003,123552
2013-07-17,75.300003,75.480003,66.300003,70.650002,70.650002,430952
2013-07-18,70.650002,72.980003,67.320000,70.150002,70.150002,207158
2013-07-19,70.150002,71.699997,69.500000,69.800003,69.800003,106765
2013-07-20,69.800003,70.500000,67.800003,69.269997,69.269997,52611
2013-07-21,69.269997,70.500000,68.570000,70.000000,70.000000,79896
2013-07-22,70.000000,74.699997,69.519997,73.000000,73.000000,332195
2013-07-23,73.000000,74.500000,70.949997,71.989998,71.989998,145225
2013-07-24,71.989998,73.099998,70.300003,72.980003,72.980003,112376
2013-07-25,72.980003,73.000000,71.650002,72.360001,72.360001,84393
2013-07-26,72.360001,72.360001,70.500000,70.500000,70.500000,81004
2013-07-27,70.500000,74.199997,70.029999,74.000000,74.000000,449714
2013-07-28,74.000000,75.980003,72.839996,75.370003,75.370003,327994
2013-07-29,75.370003,79.480003,74.190002,79.480003,79.480003,334720
2013-07-30,79.480003,82.430000,77.500000,77.800003,77.800003,476384
2013-07-31,77.800003,80.330002,75.739998,78.000000,78.000000,163185
2013-08-01,78.000000,82.089996,75.199997,78.500000,78.500000,345503
2013-08-02,78.500000,79.330002,77.000000,77.580002,77.580002,51199
2013-08-03,77.580002,79.690002,77.459999,78.099998,78.099998,44227
2013-08-04,78.099998,81.669998,77.699997,80.949997,80.949997,162911
2013-08-05,80.949997,81.220001,79.000000,79.199997,79.199997,114864
2013-08-06,79.199997,80.860001,78.059998,79.000000,79.000000,105265
2013-08-07,79.000000,79.500000,75.500000,77.800003,77.800003,188939
2013-08-08,77.800003,78.129997,76.000000,76.889999,76.889999,125229
2013-08-09,76.889999,77.400002,75.870003,76.900002,76.900002,71710
2013-08-10,76.900002,78.120003,75.800003,77.699997,77.699997,92845
2013-08-11,77.699997,79.750000,76.480003,79.110001,79.110001,154007
2013-08-12,79.110001,80.599998,78.260002,80.599998,80.599998,210311
2013-08-13,80.599998,84.980003,79.650002,82.769997,82.769997,558371
2013-08-14,82.769997,84.000000,82.239998,82.239998,82.239998,140097
2013-08-15,82.239998,83.989998,80.510002,81.769997,81.769997,158058
2013-08-16,81.769997,84.000000,80.500000,82.750000,82.750000,113260
2013-08-17,82.750000,85.000000,83.000000,83.410004,83.410004,129635
2013-08-18,83.410004,91.500000,83.410004,88.000000,88.000000,708138
2013-08-19,88.000000,90.000000,87.000000,89.900002,89.900002,195749
2013-08-20,89.900002,91.750000,88.000000,89.830002,89.830002,365000
2013-08-21,89.830002,91.430000,89.000000,89.989998,89.989998,204291
2013-08-22,89.989998,90.000000,86.779999,87.500000,87.500000,248552
2013-08-23,87.500000,89.900002,86.220001,88.300003,88.300003,142230
2013-08-24,88.300003,90.209999,88.000000,89.949997,89.949997,81745
2013-08-25,89.949997,89.949997,87.680000,88.699997,88.699997,191779
2013-08-26,88.699997,97.199997,88.800003,96.250000,96.250000,764115
2013-08-27,96.250000,96.800003,94.849998,95.199997,95.199997,226591
2013-08-28,95.199997,96.699997,93.970001,95.269997,95.269997,193675
2013-08-29,95.269997,104.989998,94.550003,101.360001,101.360001,885592
2013-08-30,101.360001,109.750000,101.370003,105.320000,105.320000,643218
2013-08-31,105.320000,109.699997,104.879997,108.360001,108.360001,377577
2013-09-01,108.360001,109.699997,106.150002,106.150002,106.150002,317563
2013-09-02,106.150002,110.000000,106.150002,107.250000,107.250000,328113
2013-09-03,107.250000,108.900002,96.500000,100.099998,100.099998,476260
2013-09-04,100.099998,103.000000,96.940002,99.300003,99.300003,321512
2013-09-05,99.300003,101.699997,93.110001,93.699997,93.699997,266800
2013-09-06,93.699997,98.599998,93.000000,97.809998,97.809998,161301
2013-09-07,97.809998,98.000000,94.500000,96.000000,96.000000,97241
2013-09-08,96.000000,102.260002,94.050003,99.199997,99.199997,409803
2013-09-09,99.199997,101.589996,97.790001,99.029999,99.029999,168700
2013-09-10,99.029999,107.570000,97.989998,105.169998,105.169998,522427
2013-09-11,105.169998,107.000000,102.500000,104.000000,104.000000,156293
2013-09-12,104.000000,107.190002,103.110001,104.800003,104.800003,213176
2013-09-13,104.800003,104.980003,100.519997,101.980003,101.980003,100791
2013-09-14,101.980003,104.379997,100.910004,102.959999,102.959999,52143
2013-09-15,102.959999,105.010002,101.400002,104.769997,104.769997,288556
2013-09-16,104.769997,104.959999,101.980003,103.330002,103.330002,139458
2013-09-17,103.330002,104.720001,102.430000,103.430000,103.430000,85124
2013-09-18,103.430000,104.989998,97.550003,100.010002,100.010002,353335
2013-09-19,100.010002,102.250000,98.000000,98.500000,98.500000,157061
2013-09-20,98.500000,100.480003,98.089996,98.980003,98.980003,45251
2013-09-21,98.980003,99.839996,96.500000,99.190002,99.190002,102387
2013-09-22,99.190002,100.000000,97.199997,98.650002,98.650002,144058
2013-09-23,98.650002,99.970001,97.000000,97.300003,97.300003,184735
2013-09-24,97.300003,101.250000,98.000000,100.730003,100.730003,184908
2013-09-25,100.730003,101.250000,97.849998,98.800003,98.800003,154737
2013-09-26,98.800003,103.120003,99.209999,101.000000,101.000000,205861
2013-09-27,101.000000,103.529999,100.129997,103.529999,103.529999,161236
2013-09-28,103.529999,105.650002,102.029999,104.489998,104.489998,325273
2013-09-29,104.489998,105.589996,101.989998,102.790001,102.790001,166536
2013-09-30,102.790001,104.500000,101.129997,102.400002,102.400002,216736
2013-10-01,102.400002,103.190002,79.019997,89.930000,89.930000,1234597
2013-10-02,89.930000,97.000000,88.889999,94.099998,94.099998,441646
2013-10-03,94.099998,100.510002,94.500000,99.489998,99.489998,382139
2013-10-04,99.489998,100.379997,98.980003,99.580002,99.580002,38659
2013-10-05,99.580002,99.959999,98.209999,98.550003,98.550003,70554
2013-10-06,98.550003,100.589996,98.180000,99.449997,99.449997,153364
2013-10-07,99.449997,102.519997,97.959999,99.639999,99.639999,193568
2013-10-08,99.639999,102.470001,98.529999,101.510002,101.510002,210659
2013-10-09,101.510002,102.339996,100.610001,102.209999,102.209999,160522
2013-10-10,102.209999,102.279999,100.709999,102.010002,102.010002,120815
2013-10-11,102.010002,102.889999,101.099998,102.099998,102.099998,105073
2013-10-12,102.099998,106.230003,102.099998,105.629997,105.629997,376528
2013-10-13,105.629997,111.430000,105.949997,108.440002,108.440002,799542
2013-10-14,108.440002,113.919998,108.419998,113.889999,113.889999,365683
